,0,1,2,7,8,9,14,15,16,21,22,23,28,29,30,35,36,37,42,43,44,49,50,51,56,57,58,63,64,65,70,71,72,77,78,79,84,85,86,91,92,93,98,99,100,105,106,107,112,113,114,119,120,121,126,127,128,133,134,135,140,141,142,147,148,149,154,155,156,161,162,163,168,169,170,175,176,177,182,183,184,189,190,191,196,197,198,203,204,205,210,211,212,217,218,219
0,32.930,-114.397,1546.787,38.778,-272.796,1531.898,43.344,-399.282,1518.497,44.745,-592.954,1513.635,14.430,-561.449,1514.890,-105.640,-518.457,1512.025,-157.774,-284.797,1571.156,-176.499,-94.295,1649.874,-153.264,-21.651,1689.457,-134.839,16.607,1602.886,-123.178,-31.290,1566.237,74.411,-560.412,1512.120,183.457,-517.897,1503.533,250.859,-279.003,1542.534,277.755,-83.651,1613.553,264.797,-9.190,1666.918,243.082,21.834,1580.034,221.525,-6.468,1540.526,-48.167,-117.921,1552.419,-40.212,220.849,1665.545,-34.453,557.134,1724.246,-26.463,693.172,1821.085,106.058,-111.220,1541.708,108.292,244.581,1569.134,84.301,578.225,1484.646,96.735,721.233,1539.888,45.821,-665.132,1523.779,58.717,-703.710,1661.283,33.019,-734.346,1631.352,-27.290,-722.038,1536.435,79.577,-731.370,1630.764,119.995,-723.221,1521.356
1,-23.343,-109.326,1615.371,-24.295,-272.768,1587.766,-24.669,-404.670,1575.011,-30.067,-604.632,1549.018,-60.474,-571.201,1554.652,-179.251,-512.994,1566.699,-226.890,-265.309,1614.719,-230.464,-74.648,1715.090,-202.504,2.325,1679.063,-164.827,51.660,1600.159,-171.005,-12.394,1614.805,1.881,-571.727,1550.053,115.785,-529.266,1537.684,192.835,-285.128,1591.545,233.322,-90.809,1682.225,209.459,-27.913,1751.178,174.400,6.853,1665.736,172.986,14.866,1663.669,-107.989,-109.425,1618.880,-84.353,260.014,1655.067,-55.540,613.663,1633.461,-62.003,704.542,1781.772,52.986,-109.236,1612.207,75.839,222.129,1778.733,83.678,573.556,1704.742,114.899,653.189,1840.131,-31.176,-680.474,1551.690,-11.115,-737.237,1688.313,-37.305,-766.399,1654.135,-103.862,-744.788,1559.389,10.916,-760.724,1652.623,48.768,-736.069,1539.581
2,-21.342,-107.943,1616.933,-22.712,-272.626,1589.315,-23.259,-405.564,1577.108,-28.545,-607.391,1554.029,-59.141,-573.775,1560.245,-178.727,-515.774,1575.690,-227.188,-265.915,1621.795,-229.219,-68.654,1712.422,-183.971,-1.439,1672.947,-151.470,45.964,1589.726,-170.783,-19.152,1601.648,3.487,-574.083,1553.511,117.588,-529.957,1539.871,193.337,-282.849,1591.434,234.582,-84.414,1676.595,219.052,-31.347,1756.348,173.898,5.456,1675.790,182.331,23.106,1680.692,-106.558,-108.027,1621.657,-87.586,264.950,1652.304,-65.746,620.698,1617.521,-66.400,719.708,1762.242,55.501,-107.868,1612.672,79.351,226.593,1779.033,85.666,586.734,1744.178,116.413,668.425,1879.857,-29.182,-683.752,1557.859,-18.286,-738.637,1697.468,-43.600,-767.951,1662.189,-104.620,-746.239,1562.765,5.137,-763.662,1663.260,50.199,-742.288,1551.224
3,-18.565,-106.874,1620.173,-21.433,-273.501,1592.922,-23.236,-407.520,1576.788,-28.453,-612.051,1557.617,-59.348,-578.028,1563.962,-181.367,-521.760,1579.883,-228.164,-269.613,1631.330,-232.529,-65.750,1712.665,-187.468,-2.700,1664.695,-151.109,58.495,1591.255,-172.449,-17.798,1599.049,3.806,-578.293,1555.660,120.097,-537.838,1537.374,194.165,-287.350,1590.266,241.648,-83.897,1666.256,221.565,-26.638,1743.384,176.258,1.758,1658.253,190.531,19.916,1702.337,-104.544,-106.621,1627.674,-86.851,271.538,1643.983,-66.966,632.185,1617.899,-65.833,736.821,1761.050,58.965,-107.103,1613.409,83.284,232.873,1778.029,89.980,598.143,1756.870,122.916,704.618,1876.010,-28.748,-689.179,1563.028,-30.578,-744.490,1704.697,-53.087,-774.055,1666.934,-105.529,-751.937,1561.300,-4.067,-769.989,1672.369,51.467,-748.827,1563.522
4,-15.557,-107.658,1619.829,-16.539,-274.403,1592.723,-16.813,-408.573,1577.280,-22.172,-613.268,1558.981,-53.072,-579.168,1565.031,-174.173,-520.805,1580.900,-221.184,-268.090,1629.875,-235.031,-63.448,1708.395,-189.511,1.718,1663.725,-149.959,67.039,1595.622,-170.417,-5.342,1603.318,10.147,-579.540,1557.028,127.451,-541.172,1540.428,194.751,-287.819,1589.130,241.131,-79.558,1651.902,234.696,-63.097,1748.475,196.157,7.878,1688.541,214.529,23.377,1702.775,-101.616,-108.284,1626.792,-85.268,270.196,1640.643,-66.759,630.456,1607.120,-64.993,735.738,1749.884,62.046,-107.094,1613.550,86.872,238.080,1767.287,89.166,604.169,1765.533,118.987,685.810,1903.677,-22.580,-690.404,1564.734,-15.218,-745.543,1706.360,-40.305,-775.082,1670.205,-99.578,-752.891,1568.202,9.003,-771.199,1672.371,57.297,-750.390,1560.000
5,-14.009,-108.617,1619.559,-14.824,-274.834,1594.404,-14.959,-408.432,1579.780,-17.687,-611.887,1558.557,-48.814,-578.497,1565.587,-170.872,-524.973,1585.135,-220.563,-274.094,1634.085,-238.061,-68.258,1705.436,-193.202,8.754,1688.410,-160.100,70.413,1614.454,-170.354,-4.217,1605.435,13.957,-577.836,1556.608,130.102,-538.781,1538.121,197.332,-287.032,1588.106,250.766,-77.990,1637.386,243.602,-50.469,1730.853,214.201,20.873,1667.118,208.773,23.336,1703.096,-99.556,-109.403,1627.523,-83.000,267.320,1638.071,-65.549,625.285,1598.953,-64.704,731.224,1740.156,63.132,-107.909,1612.377,86.896,238.684,1758.349,89.026,602.983,1760.537,125.319,683.173,1897.033,-16.907,-688.721,1563.118,-15.891,-740.623,1705.357,-40.624,-770.012,1669.215,-95.572,-748.354,1565.380,8.448,-767.654,1672.897,60.718,-750.989,1562.296
6,-1.115,-107.548,1619.924,-2.606,-273.036,1595.948,-3.489,-405.747,1579.862,-6.780,-608.377,1561.391,-37.695,-574.943,1567.487,-158.098,-517.586,1580.417,-206.983,-268.269,1630.836,-232.769,-62.611,1696.424,-205.274,17.244,1728.260,-174.527,49.387,1637.269,-172.716,33.469,1631.772,24.871,-574.667,1559.469,140.998,-537.713,1540.933,207.700,-286.073,1584.312,262.685,-76.392,1622.737,247.175,-44.938,1713.370,219.406,21.987,1645.101,234.479,-3.837,1711.303,-86.158,-108.011,1628.411,-78.315,267.097,1634.534,-65.312,622.133,1585.705,-68.885,739.294,1716.451,75.571,-107.130,1612.270,87.187,245.569,1738.646,88.366,607.915,1743.961,125.510,705.194,1867.484,-6.406,-684.740,1566.949,6.180,-731.013,1709.727,-19.493,-762.519,1676.550,-81.748,-747.017,1576.533,29.312,-758.089,1676.811,73.140,-743.530,1563.017
7,5.794,-105.548,1621.621,4.565,-271.279,1597.316,3.890,-404.207,1581.108,0.007,-607.070,1561.522,-30.883,-573.504,1567.608,-151.632,-515.791,1577.805,-204.923,-267.038,1628.817,-230.464,-62.804,1699.946,-215.661,16.496,1740.769,-174.286,46.404,1653.096,-166.011,28.964,1638.105,31.840,-573.404,1559.975,147.615,-533.749,1543.537,214.116,-281.420,1585.955,269.595,-70.936,1621.308,264.021,-48.441,1715.857,230.787,18.197,1649.529,233.502,-1.148,1718.101,-79.437,-106.098,1629.676,-75.330,269.667,1638.072,-65.804,624.098,1580.359,-75.634,740.022,1712.284,82.650,-105.053,1614.357,93.820,251.073,1732.813,88.547,614.015,1737.040,127.154,709.798,1861.639,0.081,-683.593,1566.691,12.715,-733.982,1708.338,-13.095,-764.539,1674.252,-75.510,-746.067,1574.598,35.803,-760.211,1674.593,79.638,-742.510,1561.022
8,9.566,-104.567,1623.041,6.685,-270.531,1598.983,4.586,-403.473,1581.626,3.324,-606.749,1563.287,-27.961,-573.571,1569.911,-148.801,-516.940,1585.786,-201.918,-266.612,1630.599,-223.783,-59.966,1696.661,-226.446,4.859,1759.795,-172.709,53.460,1688.594,-160.755,35.554,1654.992,34.638,-572.574,1560.795,150.011,-532.242,1542.137,216.435,-279.884,1586.578,270.912,-69.835,1627.424,267.891,-44.570,1721.516,235.549,9.490,1644.046,248.414,-0.998,1724.158,-75.649,-104.437,1632.347,-73.982,271.766,1643.224,-63.857,624.702,1574.604,-75.595,740.201,1707.047,86.409,-104.685,1614.650,93.288,254.488,1725.519,87.828,617.764,1736.114,126.346,708.354,1864.827,4.682,-683.327,1568.902,13.767,-740.025,1708.631,-10.858,-769.233,1672.445,-70.682,-746.698,1571.859,38.036,-764.579,1674.369,84.951,-741.451,1562.850
