,0,1,2,7,8,9,14,15,16,21,22,23,28,29,30,35,36,37,42,43,44,49,50,51,56,57,58,63,64,65,70,71,72,77,78,79,84,85,86,91,92,93,98,99,100,105,106,107,112,113,114,119,120,121,126,127,128,133,134,135,140,141,142,147,148,149,154,155,156,161,162,163,168,169,170,175,176,177,182,183,184,189,190,191,196,197,198,203,204,205,210,211,212,217,218,219
0,-59.907,-107.486,1634.858,-63.782,-277.113,1619.564,-66.810,-412.857,1608.919,-64.646,-599.663,1519.041,-97.197,-569.386,1533.684,-225.427,-526.669,1552.809,-276.846,-273.233,1605.332,-312.505,-63.830,1668.027,-276.518,18.637,1686.974,-233.823,13.414,1593.186,-231.606,21.454,1603.840,-32.983,-567.342,1532.296,85.675,-529.616,1548.648,138.370,-274.254,1614.267,182.748,-61.031,1667.821,159.652,3.764,1739.025,109.205,44.189,1660.878,92.506,22.132,1626.555,-146.872,-105.855,1638.802,-139.706,276.338,1634.915,-127.072,624.567,1525.133,-76.159,778.293,1601.145,18.513,-108.957,1631.301,16.855,255.686,1744.690,10.258,613.850,1833.980,57.252,681.982,1976.243,-63.417,-674.540,1497.216,-59.514,-758.232,1625.765,-84.011,-779.750,1583.415,-141.274,-736.378,1485.978,-34.344,-776.720,1587.485,17.081,-733.352,1481.997
1,-20.757,-124.527,1674.609,-15.922,-292.506,1643.042,-11.748,-428.482,1629.663,4.521,-611.677,1532.344,-30.335,-584.510,1548.275,-162.352,-562.914,1577.881,-241.154,-318.345,1642.085,-292.636,-120.140,1728.564,-283.051,-102.094,1818.562,-251.692,-48.159,1735.903,-219.265,-18.415,1735.491,33.752,-577.384,1546.799,144.399,-520.882,1568.039,181.183,-260.532,1628.788,195.482,-61.011,1732.033,172.380,35.626,1733.410,122.841,46.454,1645.145,122.977,15.279,1654.107,-108.080,-127.393,1676.482,-141.070,226.767,1820.357,-143.785,590.489,1773.894,-181.123,673.763,1928.520,57.986,-121.944,1672.920,41.084,257.173,1726.633,15.113,626.805,1727.954,29.062,664.146,1888.267,11.482,-685.620,1507.577,-0.236,-737.866,1651.977,-14.708,-771.318,1612.616,-57.378,-758.288,1499.604,33.108,-760.981,1623.470,98.740,-735.517,1519.486
2,-20.837,-128.043,1670.958,-11.222,-296.512,1640.646,-3.457,-432.245,1623.262,10.865,-617.378,1528.137,-23.806,-589.221,1543.097,-155.852,-566.727,1573.586,-227.719,-319.195,1637.494,-278.245,-116.498,1715.210,-276.520,-98.759,1806.013,-238.487,-46.866,1724.508,-220.267,-7.374,1740.556,40.606,-583.448,1542.817,152.214,-529.116,1566.552,184.983,-268.313,1630.765,195.320,-60.950,1719.297,168.135,33.934,1732.906,126.047,48.278,1641.035,122.972,21.657,1646.026,-108.316,-133.078,1671.197,-135.229,225.994,1806.651,-150.342,591.853,1839.794,-179.291,668.532,2000.083,58.047,-123.502,1670.741,39.941,258.081,1712.608,13.840,628.680,1708.886,24.508,677.924,1866.673,16.754,-691.938,1504.298,-5.142,-711.225,1655.936,-21.227,-751.065,1623.575,-58.399,-758.867,1507.822,27.035,-742.628,1634.712,98.733,-745.355,1531.247
3,-20.936,-125.741,1667.603,-11.048,-295.842,1639.013,-3.045,-432.790,1622.942,10.230,-618.863,1525.968,-24.533,-590.216,1540.931,-157.258,-566.113,1572.040,-228.165,-316.431,1637.211,-279.031,-111.941,1714.964,-272.709,-84.066,1803.726,-230.307,-24.874,1728.573,-209.294,-5.497,1720.247,40.435,-585.093,1541.247,152.859,-530.482,1565.700,187.232,-268.556,1633.263,202.885,-58.022,1717.909,160.434,29.433,1743.021,134.094,54.413,1646.785,124.356,10.927,1630.869,-109.081,-130.955,1668.136,-135.922,235.237,1792.572,-158.032,593.823,1883.150,-182.498,635.574,2057.998,58.549,-121.040,1667.122,39.864,264.301,1700.900,13.919,637.668,1690.683,23.852,685.034,1850.429,15.572,-693.900,1501.497,-1.769,-719.580,1653.993,-17.208,-759.180,1620.353,-57.312,-764.444,1504.441,31.325,-749.114,1630.692,100.925,-745.258,1524.674
4,-24.534,-118.607,1660.979,-13.107,-289.938,1637.443,-3.901,-427.679,1625.576,9.111,-615.396,1530.301,-25.715,-586.517,1545.151,-160.453,-567.022,1572.572,-229.369,-315.209,1635.115,-279.571,-108.383,1709.088,-273.276,-74.915,1796.215,-224.543,-11.298,1728.413,-207.438,-4.515,1704.057,39.456,-581.331,1545.117,155.342,-531.419,1565.158,186.571,-269.462,1637.454,208.416,-54.155,1709.762,157.956,21.985,1752.208,141.879,67.949,1661.240,124.117,14.871,1622.924,-112.916,-124.534,1661.211,-138.328,240.760,1792.244,-159.114,598.182,1892.076,-190.961,633.498,2067.749,55.164,-113.263,1660.769,39.678,273.738,1691.106,14.374,647.992,1672.022,28.960,720.904,1822.052,14.413,-690.933,1506.561,-8.854,-713.251,1659.301,-26.105,-752.308,1625.631,-63.433,-756.503,1508.343,22.859,-745.404,1637.239,95.641,-747.832,1532.845
5,-30.947,-116.964,1658.458,-18.763,-289.036,1636.180,-9.042,-427.444,1627.000,3.750,-616.148,1531.976,-31.160,-587.050,1546.749,-165.895,-562.208,1572.307,-234.415,-309.272,1634.876,-285.168,-100.781,1706.208,-261.284,-55.809,1785.078,-226.035,22.090,1723.538,-198.748,-15.184,1662.951,34.254,-581.977,1546.777,148.989,-527.811,1565.248,181.573,-264.784,1636.757,204.315,-48.780,1709.285,173.206,32.749,1760.305,148.945,80.805,1671.850,116.883,27.023,1632.062,-119.626,-123.138,1657.647,-141.501,244.846,1785.891,-159.027,604.586,1882.930,-191.734,644.943,2058.032,49.019,-111.396,1659.189,35.746,277.783,1678.494,13.683,653.303,1654.470,27.842,729.442,1803.604,8.946,-692.037,1508.389,-15.292,-709.944,1662.126,-32.765,-749.933,1629.363,-69.714,-757.142,1511.640,16.374,-743.072,1641.051,89.878,-749.024,1536.750
6,-34.250,-116.460,1658.748,-21.588,-288.493,1636.877,-11.438,-426.802,1627.343,0.772,-615.380,1532.143,-34.037,-586.102,1546.746,-169.034,-560.491,1569.802,-238.508,-308.593,1635.073,-291.506,-100.451,1705.556,-267.317,-61.492,1787.440,-235.083,23.617,1734.446,-203.782,-14.030,1666.405,31.385,-581.428,1547.172,146.307,-527.972,1566.254,178.309,-265.259,1638.833,202.705,-47.792,1706.024,168.155,31.180,1758.759,148.246,80.670,1670.047,117.696,28.434,1626.698,-122.882,-122.940,1658.408,-143.759,246.784,1781.320,-160.744,607.740,1873.353,-188.776,654.304,2047.663,45.672,-110.616,1659.055,31.969,278.606,1674.230,7.046,653.138,1641.162,22.627,736.027,1786.444,5.647,-691.240,1508.480,-17.856,-712.044,1661.915,-37.144,-750.491,1628.363,-75.399,-753.334,1510.913,12.310,-745.808,1639.720,84.558,-751.949,1534.605
7,-40.868,-115.293,1659.328,-27.169,-287.220,1637.088,-16.178,-425.458,1627.222,-3.399,-613.521,1531.029,-38.300,-584.498,1545.935,-172.811,-558.104,1570.968,-240.181,-305.199,1634.666,-291.483,-96.165,1703.838,-268.316,-47.543,1780.709,-232.195,22.822,1711.156,-203.405,-13.853,1657.856,27.104,-579.477,1546.088,141.262,-524.184,1564.614,175.405,-262.949,1641.548,203.604,-45.277,1706.645,163.096,29.555,1761.170,146.050,81.438,1673.218,116.795,38.716,1635.511,-129.468,-122.319,1659.072,-146.265,249.683,1775.729,-159.254,612.270,1861.997,-186.916,659.342,2036.252,39.028,-108.957,1659.559,29.507,280.545,1671.657,6.426,654.514,1631.208,23.092,738.962,1775.492,1.771,-689.247,1506.968,-22.118,-717.747,1659.121,-41.666,-754.261,1623.607,-79.780,-750.738,1506.115,7.814,-750.567,1635.242,80.168,-751.861,1530.010
8,-48.746,-111.220,1661.868,-34.955,-282.845,1640.922,-24.061,-420.503,1628.310,-12.711,-610.906,1537.927,-47.289,-580.858,1551.052,-182.077,-551.275,1567.558,-255.045,-302.437,1637.810,-312.528,-96.598,1709.725,-271.550,-79.095,1792.057,-283.900,-14.253,1710.333,-211.565,-39.398,1657.526,18.009,-577.163,1552.823,133.949,-526.493,1571.198,173.490,-267.220,1649.623,206.722,-50.752,1714.268,168.421,-12.076,1799.107,153.393,55.117,1722.155,115.540,32.492,1658.292,-137.072,-117.887,1658.342,-148.656,256.883,1762.736,-155.979,621.542,1835.728,-200.114,667.081,2006.464,30.902,-105.208,1665.047,21.624,283.466,1667.341,0.500,654.640,1611.957,19.057,736.258,1757.128,-8.502,-687.165,1516.157,-19.760,-721.639,1668.113,-48.060,-752.636,1633.479,-97.537,-736.352,1521.778,2.259,-756.631,1639.462,61.750,-761.267,1526.924
