,0,1,2,7,8,9,14,15,16,21,22,23,28,29,30,35,36,37,42,43,44,49,50,51,56,57,58,63,64,65,70,71,72,77,78,79,84,85,86,91,92,93,98,99,100,105,106,107,112,113,114,119,120,121,126,127,128,133,134,135,140,141,142,147,148,149,154,155,156,161,162,163,168,169,170,175,176,177,182,183,184,189,190,191,196,197,198,203,204,205,210,211,212,217,218,219
0,-33.468,-261.178,1499.382,-39.232,-433.625,1483.496,-42.868,-568.257,1451.096,-23.207,-776.187,1422.112,-58.838,-745.618,1429.996,-194.679,-717.233,1434.246,-233.131,-457.110,1488.023,-223.781,-244.612,1562.191,-215.944,-165.412,1513.074,-194.907,-92.493,1440.591,-176.303,-167.710,1459.554,5.536,-737.803,1421.818,120.895,-689.516,1395.839,164.824,-420.077,1379.751,179.253,-197.499,1427.579,178.388,-147.521,1514.994,140.237,-69.304,1459.610,124.304,-141.170,1532.479,-121.882,-257.870,1495.560,-117.624,130.762,1484.344,-93.304,492.172,1401.456,-87.797,674.015,1404.345,46.259,-264.160,1502.829,23.560,96.819,1644.367,3.257,453.680,1759.419,-9.488,589.231,1856.823,-14.089,-854.972,1424.149,-6.383,-833.271,1578.507,-32.316,-877.723,1560.994,-93.288,-908.783,1458.635,18.278,-873.384,1560.964,67.602,-911.368,1449.980
1,-13.019,-266.428,1541.699,0.855,-441.064,1505.513,12.359,-579.730,1472.482,37.262,-792.144,1431.887,-0.085,-760.227,1433.244,-138.361,-734.049,1406.044,-234.676,-474.321,1412.382,-295.218,-302.228,1556.612,-275.954,-212.967,1525.253,-283.364,-109.788,1493.040,-207.128,-189.251,1529.800,66.494,-753.458,1441.881,187.280,-701.058,1449.141,250.802,-429.329,1491.990,268.580,-227.167,1611.471,243.730,-207.906,1710.562,206.250,-118.761,1665.956,201.858,-157.073,1706.138,-103.725,-271.506,1531.428,-136.956,102.988,1672.065,-135.859,477.405,1588.534,-164.632,637.601,1682.310,68.774,-261.849,1550.962,37.615,134.570,1602.572,3.543,520.418,1618.069,23.818,614.326,1761.730,45.076,-873.653,1429.919,-11.914,-835.542,1575.725,-29.402,-883.906,1553.259,-44.473,-928.359,1435.131,18.414,-877.585,1573.801,111.041,-925.941,1494.172
2,-11.676,-261.190,1532.856,2.686,-435.517,1495.540,14.210,-574.796,1465.318,35.662,-787.457,1424.239,-0.900,-754.627,1424.150,-137.494,-723.671,1393.783,-230.018,-462.541,1393.857,-303.990,-289.008,1529.798,-278.743,-200.226,1501.524,-262.626,-99.035,1466.379,-211.613,-174.359,1542.309,65.353,-749.591,1435.850,186.444,-700.013,1452.006,255.778,-430.401,1498.731,270.666,-227.900,1617.956,246.318,-212.517,1717.827,210.302,-118.718,1682.584,202.670,-170.937,1720.513,-102.303,-266.349,1522.075,-137.012,107.434,1664.051,-142.132,490.956,1665.526,-186.189,604.032,1808.862,70.046,-256.538,1542.577,39.436,141.124,1583.285,7.808,527.367,1589.963,26.757,605.467,1742.932,41.535,-869.107,1421.990,-11.741,-829.034,1568.642,-29.528,-877.837,1547.417,-47.492,-924.222,1430.464,18.775,-870.923,1566.558,109.507,-919.992,1485.239
3,-17.358,-258.766,1528.075,0.583,-432.790,1490.619,14.941,-571.881,1460.535,35.343,-784.932,1420.602,-1.066,-751.912,1420.332,-137.878,-721.552,1390.132,-228.270,-459.599,1387.410,-293.131,-284.808,1526.481,-275.399,-196.070,1492.776,-253.701,-99.024,1449.728,-209.855,-165.000,1548.562,65.231,-747.141,1432.011,186.869,-699.347,1449.700,256.286,-430.296,1499.939,269.544,-227.019,1618.178,251.146,-204.377,1717.975,208.721,-113.647,1681.744,205.456,-155.906,1715.265,-107.838,-265.669,1516.805,-135.294,107.590,1662.064,-144.038,489.454,1698.306,-167.077,607.747,1842.426,64.232,-252.542,1538.237,37.309,145.875,1575.230,8.406,532.494,1578.827,27.481,612.790,1730.701,40.812,-866.648,1418.797,-11.294,-819.360,1563.766,-30.237,-868.587,1544.571,-49.468,-919.327,1429.602,18.260,-862.002,1563.380,107.732,-916.456,1484.049
4,-18.093,-258.609,1522.681,-0.456,-432.497,1485.473,13.607,-571.594,1456.094,31.404,-784.834,1417.354,-4.669,-751.532,1417.491,-141.890,-722.794,1388.393,-229.116,-460.171,1382.429,-278.065,-282.249,1523.560,-261.976,-194.535,1486.818,-245.823,-97.714,1441.226,-201.610,-160.325,1547.275,61.783,-747.278,1427.958,183.182,-699.205,1445.364,255.047,-431.668,1498.282,268.767,-226.828,1613.163,250.761,-200.794,1712.071,207.413,-112.896,1670.690,205.353,-153.897,1708.685,-108.563,-265.559,1512.281,-133.735,106.605,1659.425,-146.464,483.851,1725.625,-164.662,591.524,1878.222,63.488,-252.341,1532.059,38.111,145.947,1566.233,9.730,532.148,1563.414,27.981,620.146,1710.822,36.114,-866.507,1416.028,-17.134,-817.763,1559.882,-35.709,-867.242,1541.177,-53.902,-919.385,1426.837,12.570,-860.225,1560.214,102.715,-915.172,1482.257
5,-21.700,-254.143,1514.777,-4.120,-427.948,1477.777,9.994,-566.757,1447.579,23.850,-780.653,1411.852,-11.466,-746.613,1410.927,-146.419,-713.354,1376.959,-227.784,-449.070,1383.043,-256.394,-277.866,1537.194,-242.758,-188.646,1503.386,-213.242,-96.943,1454.231,-182.219,-153.468,1519.969,54.820,-743.649,1422.523,178.101,-702.145,1442.656,253.157,-434.572,1489.524,265.641,-223.827,1592.943,237.257,-195.815,1688.749,204.525,-104.690,1644.864,199.663,-153.949,1685.976,-112.123,-261.115,1504.561,-130.941,110.474,1653.310,-148.602,474.847,1769.781,-149.473,580.058,1924.988,59.837,-247.856,1523.989,38.929,150.859,1552.296,13.462,536.851,1541.879,19.962,655.980,1666.492,26.816,-862.360,1411.631,-28.070,-813.977,1554.859,-48.713,-861.895,1534.456,-66.172,-910.380,1418.506,-0.769,-857.979,1555.061,88.545,-916.039,1478.578
6,-23.107,-256.010,1510.164,-5.206,-431.511,1472.768,8.978,-572.119,1444.271,20.489,-788.820,1411.623,-14.788,-754.063,1410.182,-149.041,-713.046,1375.937,-226.203,-444.613,1379.473,-254.250,-267.726,1530.755,-246.923,-178.454,1492.671,-209.308,-95.666,1432.168,-171.739,-148.578,1497.407,52.198,-751.639,1421.766,174.989,-704.662,1441.408,251.959,-434.249,1485.627,264.036,-219.206,1585.492,235.673,-193.206,1682.973,203.118,-103.280,1634.198,193.012,-131.895,1665.526,-114.459,-263.224,1500.291,-128.118,110.407,1655.082,-142.475,476.187,1779.807,-126.780,570.159,1943.456,59.268,-249.504,1519.067,39.262,153.294,1546.420,13.111,542.917,1531.236,32.719,648.917,1668.105,22.553,-871.356,1412.711,-27.741,-814.080,1556.138,-50.293,-862.881,1538.510,-72.265,-917.064,1424.487,-1.247,-859.136,1557.833,85.389,-923.745,1481.289
7,-19.499,-257.036,1508.380,-5.330,-434.189,1473.697,6.168,-575.525,1444.595,11.619,-793.338,1411.706,-22.770,-757.427,1410.082,-157.178,-714.065,1376.840,-218.474,-440.782,1361.879,-261.600,-228.455,1453.920,-222.903,-152.825,1405.606,-178.893,-71.231,1347.016,-162.115,-121.968,1481.802,44.464,-756.947,1422.106,167.946,-710.203,1441.673,243.416,-436.526,1474.443,254.490,-217.469,1567.811,222.670,-186.649,1663.263,192.214,-100.559,1605.982,176.229,-123.674,1636.423,-111.081,-261.936,1495.997,-129.626,112.640,1652.337,-142.045,479.938,1777.741,-196.117,545.620,1947.784,63.084,-252.617,1519.546,38.416,152.348,1531.114,12.700,543.297,1509.323,31.092,642.887,1651.965,11.287,-876.238,1412.744,-51.909,-818.125,1551.408,-75.552,-865.063,1529.844,-87.527,-915.556,1412.106,-28.807,-865.147,1554.959,62.095,-934.467,1487.025
8,-22.803,-259.612,1512.393,-9.926,-436.292,1475.615,0.581,-577.048,1444.015,1.858,-794.650,1410.497,-31.829,-758.127,1409.079,-164.613,-708.757,1378.287,-219.062,-434.419,1360.623,-258.834,-222.418,1454.425,-222.596,-144.536,1407.978,-177.058,-63.056,1350.573,-165.110,-116.903,1491.576,35.382,-758.941,1420.900,159.761,-715.104,1440.781,235.775,-441.193,1467.842,251.161,-219.419,1553.367,210.733,-178.625,1641.440,190.599,-89.362,1584.621,175.349,-123.290,1616.923,-114.626,-264.245,1502.499,-130.774,113.851,1649.507,-140.460,484.472,1763.928,-191.315,552.205,1933.989,59.997,-255.434,1521.316,38.380,149.506,1526.834,13.193,539.515,1495.404,33.938,640.833,1636.324,-0.021,-877.466,1411.291,-68.434,-820.017,1547.581,-86.987,-870.136,1528.454,-93.978,-927.065,1413.394,-40.432,-864.046,1553.090,57.006,-926.328,1487.656
